planet_name,host_name,number_stars,number_planets,discovery_method,discovery_year,discovery_facility,orbital_period,semimajor_axis,planet_radius,planet_mass_E,planet_mass_J,planet_eccentricity,planet_eq_temp,star_spectype,star_teff,star_radius,star_mass,star_age,system_distance,system_vmag,system_gaiamag
PSR B1257+12 d,PSR B1257+12,1,3,Pulsar Timing,1992,Arecibo Observatory,98.2114,0.46,1.8,3.9,0.01227071,0.0264,,,,,1.4,3,600,,
PSR B1257+12 c,PSR B1257+12,1,3,Pulsar Timing,1992,Arecibo Observatory,66.5419,0.36,1.91,4.3,0.01352925,0.0186,,,,,1.4,3,600,,
PSR B1257+12 b,PSR B1257+12,1,3,Pulsar Timing,1994,Arecibo Observatory,25.262,0.19,0.338,0.02,0.00006293,0,,,,,1.4,3,600,,
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,14.3,146.2018,0.46,0.013,,G5V,5758,1.17561,1.03,10,15.4614,5.45309,5.28647
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078,2.1,13.2,804.08,2.53,0.032,,G0 V,5872,1.21334,1.06,6.48,13.7967,5.03352,4.87837
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,13.5,565.7374,1.78,0.68,,G3 V,5750,1.13,1.08,7.4,21.1397,6.215,6.06428
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,116.688,0.481,12.6,2380.45,7.49,0.3988,,G5V,5495,1.89,1.09,7.77,17.9011,4.96808,4.76178
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.6516,0.1134,13.9,263.9785,0.8306,0,700,K0 IV-V,5172,0.943,0.905,5.5,12.5855,5.95084,5.72973
ups And b,ups And,2,3,Radial Velocity,1996,Lick Observatory,4.617033,0.05922166,14,218.531,0.6876,0.0215,,F8 V,6156.77,1.56,1.3,5,13.4054,4.09565,3.98687
tau Boo b,tau Boo,2,1,Radial Velocity,1996,Lick Observatory,3.3124568,0.049,12.8,1891,5.95,0.011,,F7 V,6466.27,1.42588,1.32,2,15.6521,4.48635,4.36617
rho CrB b,rho CrB,1,4,Radial Velocity,1997,Fred Lawrence Whipple Observatory,39.8438,0.2245,13.7,347.3864489,1.093,0.038,614,G0 V,5817,1.35,0.95,10.2,17.4671,5.40816,5.24167
HD 210277 b,HD 210277,1,1,Radial Velocity,1998,W. M. Keck Observatory,442.19,1.13,13.6,410.0007,1.29,0.48,,G0 V,5538,1.07,1.01,12,21.2985,6.54348,6.34701
GJ 876 b,GJ 876,1,4,Radial Velocity,1998,Multiple Observatories,61.1166,0.208317,13.3,723.2235,2.2756,0.0324,,M4 V,3293.74,0.3,0.32,1,4.67517,10.16,8.8753
HD 168443 b,HD 168443,1,2,Radial Velocity,1998,W. M. Keck Observatory,58.11187,0.292,12.6,2424.395089,7.628,0.53,,G5,5491,1.711479,0.98,11.08,39.6245,6.92122,6.73166
HD 195019 b,HD 195019,2,1,Radial Velocity,1998,Lick Observatory,18.20132,0.14,13,1264.9634,3.98,0.01,,G3 IV-V,5751,1.48,1.21,3.2,37.6681,6.87591,6.72911
HD 217107 b,HD 217107,1,2,Radial Velocity,1998,Lick Observatory,7.12682,0.08,13.6,413.179,1.3,0.13,,G8 IV,5622,1.11,1,5.84,20.0619,6.155,5.96401
HD 187123 b,HD 187123,1,2,Radial Velocity,1998,W. M. Keck Observatory,3.0965828,0.0426,14.2,166.218,0.523,0.0103,,G3 V,5790,1.15043,1.04,7.4,45.9548,7.83,7.67284
ups And d,ups And,2,3,Radial Velocity,1999,Multiple Observatories,1276.46,2.51329,12.5,3257.741172,10.25,0.2987,,F8 V,6156.77,1.56,1.3,5,13.4054,4.09565,3.98687
HD 10697 b,HD 10697,1,1,Radial Velocity,1999,W. M. Keck Observatory,1075.3799,2.051,12.8,1825.288541,5.743,0.104,,G3 V,5641,1.863076,0.99,6.98,33.1205,6.28262,6.10286
HD 222582 b,HD 222582,2,1,Radial Velocity,1999,W. M. Keck Observatory,572.38,1.34,12.6,2660.2371,8.37,0.73,,G5 V,5790,1.13,1.12,10.24,42.1586,7.68,7.51889
HD 177830 b,HD 177830,2,2,Radial Velocity,1999,W. M. Keck Observatory,410.10001,1.14,13.5,537.1327,1.69,0.1,,K0,4901,3.26,1.7,4.4,62.7674,7.18,6.8866
HR 810 b,HR 810,1,1,Radial Velocity,1999,La Silla Observatory,302.79999,0.92,12.7,1970.536123,6.2,0.14,,G0V,6167,1.13,1.34,2.72,17.3181,5.4,5.25587
HD 134987 b,HD 134987,1,2,Radial Velocity,1999,W. M. Keck Observatory,258.17999,0.81,13.5,511.7063,1.61,0.23,,G5 V,5736,1.22,1.1,8.4,26.1804,6.47,6.28994
HD 89744 b,HD 89744,2,1,Radial Velocity,1999,Fred Lawrence Whipple Observatory,256.78,0.917,12.6,2653.8805,8.35,0.677,,F7 V,6291,2.13257,1.86,1.88,38.6364,5.73469,5.60551
ups And c,ups And,2,3,Radial Velocity,1999,Multiple Observatories,241.258,0.827774,12.3,4443.24113,13.98,0.2596,,F8 V,6156.77,1.56,1.3,5,13.4054,4.09565,3.98687
HD 192263 b,HD 192263,1,1,Radial Velocity,1999,La Silla Observatory,24.3556,0.15,14.2,177.9848,0.56,0.05,486,K2 V,4976,0.74,0.66,2.09,19.6359,7.79,7.49558
